z_correl,est,bias,tstat
1.0,base,0.036703822582582236,7.249167648733197
0.5,base,0.043656355481231764,11.047824576965423
0.25,base,0.04629923883051544,18.896607446944195
0.1,base,0.04429397755480757,21.36552269836456
0.05,base,0.04503986558261447,21.209129310807473
0.01,base,0.04478957782365986,23.24433912199349
1.0,groupfe,0.03573518868374259,7.114365631989142
0.5,groupfe,0.0427012280160924,10.87506674189367
0.25,groupfe,0.04533956103440985,18.587595611748668
0.1,groupfe,0.04333899194775481,21.396517629428416
0.05,groupfe,0.04411213695798097,21.575465320921822
0.01,groupfe,0.04391574993023042,23.728427589440418
1.0,cf,-0.0007573725880501037,-0.16635626716050195
0.5,cf,0.0010937550227121562,0.27379045223272225
0.25,cf,0.004945380780674485,0.7237872259577948
0.1,cf,-0.009667289181300331,-0.6278517260848097
0.05,cf,-0.05199537216170326,-1.2135195848908915
0.01,cf,0.06345936659825407,0.46401817001188245
