n_groups,est,bias,tstat
5,base,0.041802088515618625,13.894916389806692
10,base,0.03876387937905153,13.355187964399876
20,base,0.03747209484877568,13.14930425570553
25,base,0.04310969311002203,12.934230798281712
50,base,0.03624212442249488,13.644909687174573
100,base,0.039790058170739294,9.739409550558449
5,groupfe,0.04090966281947951,13.754956634889215
10,groupfe,0.03789915207418126,13.152017167646989
20,groupfe,0.035947900552134336,12.726630145183414
25,groupfe,0.04168811572304445,12.599642005070372
50,groupfe,0.03491308975201773,13.54842335063139
100,groupfe,0.03816290491259246,9.07668765624382
5,cf,0.0031167090895507345,0.9329712891991268
10,cf,0.0018504577084521856,0.6356365396124649
20,cf,-0.003444854065212999,-0.9088945802100943
25,cf,0.004475272456936558,1.1395521365266723
50,cf,-0.0014934685613699316,-0.38605562616985917
100,cf,0.001630648515218941,0.40711540269544133
