sim,est,wtp
sim1,base,-0.5111959383756715
sim1,base,-0.47631612889843633
sim1,base,-0.5077671870071923
sim1,base,-0.5030706767128492
sim1,base,-0.49341453427998994
sim1,base,-0.5061223045737155
sim1,base,-0.507181428216224
sim1,base,-0.4816441321163495
sim1,base,-0.4890384159468977
sim1,base,-0.5097704424979156
sim1,groupfe,-0.5113193559114572
sim1,groupfe,-0.47644886444114054
sim1,groupfe,-0.508336115774548
sim1,groupfe,-0.5028516038548678
sim1,groupfe,-0.49395768733274703
sim1,groupfe,-0.5054935841283251
sim1,groupfe,-0.5077115561041592
sim1,groupfe,-0.4816580661293168
sim1,groupfe,-0.4894471535421106
sim1,groupfe,-0.5089146814607189
sim1,cf,-0.509223164339226
sim1,cf,-0.4773216045415035
sim1,cf,-0.5056665289354972
sim1,cf,-0.5035427889956513
sim1,cf,-0.5031476267263918
sim1,cf,-0.4999337669024195
sim1,cf,-0.5074869475610246
sim1,cf,-0.47886581205665985
sim1,cf,-0.4905483354122923
sim1,cf,-0.5124352357977421
