z_correl,f_stat
1.0,291.80702452927267
1.0,291.80702452927267
1.0,291.80702452927267
1.0,291.80702452927267
1.0,291.80702452927267
1.0,291.80702452927267
1.0,291.80702452927267
1.0,291.80702452927267
1.0,291.80702452927267
1.0,291.80702452927267
0.5,73.00281010495418
0.5,73.00281010495418
0.5,73.00281010495418
0.5,73.00281010495418
0.5,73.00281010495418
0.5,73.00281010495418
0.5,73.00281010495418
0.5,73.00281010495418
0.5,73.00281010495418
0.5,73.00281010495418
0.25,18.276242906321563
0.25,18.276242906321563
0.25,18.276242906321563
0.25,18.276242906321563
0.25,18.276242906321563
0.25,18.276242906321563
0.25,18.276242906321563
0.25,18.276242906321563
0.25,18.276242906321563
0.25,18.276242906321563
0.1,2.9364753914703963
0.1,2.9364753914703963
0.1,2.9364753914703963
0.1,2.9364753914703963
0.1,2.9364753914703963
0.1,2.9364753914703963
0.1,2.9364753914703963
0.1,2.9364753914703963
0.1,2.9364753914703963
0.1,2.9364753914703963
0.05,0.7392483539080891
0.05,0.7392483539080891
0.05,0.7392483539080891
0.05,0.7392483539080891
0.05,0.7392483539080891
0.05,0.7392483539080891
0.05,0.7392483539080891
0.05,0.7392483539080891
0.05,0.7392483539080891
0.05,0.7392483539080891
0.01,0.031237092117954175
0.01,0.031237092117954175
0.01,0.031237092117954175
0.01,0.031237092117954175
0.01,0.031237092117954175
0.01,0.031237092117954175
0.01,0.031237092117954175
0.01,0.031237092117954175
0.01,0.031237092117954175
0.01,0.031237092117954175
