sim,est,wtp
sim2,base,-0.4803719516339697
sim2,base,-0.4636160074868511
sim2,base,-0.45456607181747577
sim2,base,-0.4370034774470877
sim2,base,-0.4424339016185594
sim2,base,-0.4509762695230941
sim2,base,-0.4500781126724451
sim2,base,-0.4498558419363862
sim2,base,-0.4754619224742596
sim2,base,-0.45382795131349946
sim2,groupfe,-0.4806898534064833
sim2,groupfe,-0.4660432034848112
sim2,groupfe,-0.45594934753212707
sim2,groupfe,-0.43820116405877907
sim2,groupfe,-0.44392508256439084
sim2,groupfe,-0.45195424685349533
sim2,groupfe,-0.452655418340453
sim2,groupfe,-0.4524633717115319
sim2,groupfe,-0.4767549281148055
sim2,groupfe,-0.45400687835029646
sim2,cf,-0.5070007768759274
sim2,cf,-0.5064314370131445
sim2,cf,-0.49383702673797525
sim2,cf,-0.47911399923904
sim2,cf,-0.482279079081059
sim2,cf,-0.49132643919589536
sim2,cf,-0.4835214043664856
sim2,cf,-0.48869493042607687
sim2,cf,-0.5116900734578219
sim2,cf,-0.4937144706835591
