sim,est,nonlinear,wtp
sim2,1,7,-0.452445950983431
sim2,1,7,-0.44858811779171676
sim2,1,7,-0.45761671366904527
sim2,1,7,-0.4711453068523846
sim2,1,7,-0.4528302376954997
sim2,1,7,-0.4598625577750855
sim2,1,7,-0.4504326131259513
sim2,1,7,-0.46900987735586286
sim2,1,7,-0.44843755989700473
sim2,1,7,-0.453952526187869
sim2,2,7,-0.45311549479555113
sim2,2,7,-0.45059706228772606
sim2,2,7,-0.459008102886804
sim2,2,7,-0.4720182228548914
sim2,2,7,-0.4536814048835708
sim2,2,7,-0.46090325259054726
sim2,2,7,-0.45091282249804865
sim2,2,7,-0.4703838254069821
sim2,2,7,-0.44995535042275475
sim2,2,7,-0.45586778633966174
sim2,3,7,-0.48342265601638734
sim2,3,7,-0.4701516096702296
sim2,3,7,-0.49798020829741524
sim2,3,7,-0.49652585481627676
sim2,3,7,-0.480052567997041
sim2,3,7,-0.49636454508386596
sim2,3,7,-0.47852950060606514
sim2,3,7,-0.5045815601895122
sim2,3,7,-0.4843201773866999
sim2,3,7,-0.4869350878694083
sim2,1,8,-0.44615684641167735
sim2,1,8,-0.4669401369443969
sim2,1,8,-0.4671146921435463
sim2,1,8,-0.44946110350026924
sim2,1,8,-0.45412199055086455
sim2,1,8,-0.4552661085419654
sim2,1,8,-0.4459120008476619
sim2,1,8,-0.4727956912562131
sim2,1,8,-0.4787485727798338
sim2,1,8,-0.44589038494279065
sim2,2,8,-0.4464448804094698
sim2,2,8,-0.4671289105683697
sim2,2,8,-0.4672445886343212
sim2,2,8,-0.4508076051863795
sim2,2,8,-0.4553063439585146
sim2,2,8,-0.456271830486959
sim2,2,8,-0.4491775550735198
sim2,2,8,-0.47399936555863403
sim2,2,8,-0.48028954210895997
sim2,2,8,-0.4468912781363218
sim2,3,8,-0.47167824416347204
sim2,3,8,-0.4964864453798955
sim2,3,8,-0.49456826528629455
sim2,3,8,-0.4866162120958257
sim2,3,8,-0.4823531609292045
sim2,3,8,-0.4903640371251747
sim2,3,8,-0.4753230049651336
sim2,3,8,-0.49899090622850495
sim2,3,8,-0.5140621187277246
sim2,3,8,-0.47453495857054445
