sim,est,wtp
sim5,base,-0.6128046163664187
sim5,base,-0.5976483454779571
sim5,base,-0.5938588072771407
sim5,base,-0.5940435058651597
sim5,base,-0.5817788985708127
sim5,base,-0.590902001831537
sim5,base,-0.6090838178803102
sim5,base,-0.5947481442053136
sim5,base,-0.5889434733831528
sim5,base,-0.5990176571036071
sim5,groupfe,-0.6127006720362325
sim5,groupfe,-0.5974578362024555
sim5,groupfe,-0.5939824153705121
sim5,groupfe,-0.5941428015575437
sim5,groupfe,-0.581979298804151
sim5,groupfe,-0.5905427668827387
sim5,groupfe,-0.6091388395137886
sim5,groupfe,-0.5946181753058578
sim5,groupfe,-0.589088121418004
sim5,groupfe,-0.5989325812063687
sim5,cf,-0.4832829072070904
sim5,cf,-0.465977989323484
sim5,cf,-0.46238345260158464
sim5,cf,-0.4647794047797957
sim5,cf,-0.44778838444230407
sim5,cf,-0.4600968608006617
sim5,cf,-0.46583316180522866
sim5,cf,-0.4597176283796605
sim5,cf,-0.46494551101698095
sim5,cf,-0.4697082811434559
