sim,est,wtp
sim6,base,-0.5391546626529018
sim6,base,-0.5420968590141166
sim6,base,-0.5599515344890141
sim6,base,-0.5376885471503443
sim6,base,-0.529413612559476
sim6,base,-0.5175175578857414
sim6,base,-0.5130716044305345
sim6,base,-0.5285419666351026
sim6,base,-0.5310773563212284
sim6,base,-0.546088100547545
sim6,groupfe,-0.5420784749765422
sim6,groupfe,-0.5434679422329076
sim6,groupfe,-0.5613967071911599
sim6,groupfe,-0.5388431919236796
sim6,groupfe,-0.5299139232463707
sim6,groupfe,-0.517935942132641
sim6,groupfe,-0.514612463868151
sim6,groupfe,-0.5296210539131879
sim6,groupfe,-0.5319756318115594
sim6,groupfe,-0.5484381750452869
sim6,cf,-0.49123993063609145
sim6,cf,-0.505396805789059
sim6,cf,-0.5160915638648242
sim6,cf,-0.4969924451983399
sim6,cf,-0.4863995487642078
sim6,cf,-0.4792291305488725
sim6,cf,-0.4830504367601309
sim6,cf,-0.4908127698121216
sim6,cf,-0.4899609317749862
sim6,cf,-0.5109937229611157
