sim,est,wtp
sim3,base,-0.5467024817224024
sim3,base,-0.5453666376319867
sim3,base,-0.5283112560708825
sim3,base,-0.5501430550839459
sim3,base,-0.5369113137853627
sim3,base,-0.5249117921855575
sim3,base,-0.5568826617692698
sim3,base,-0.5461878085970143
sim3,base,-0.5589391114556058
sim3,base,-0.5507706478212725
sim3,groupfe,-0.544980804095983
sim3,groupfe,-0.5430164629872589
sim3,groupfe,-0.5264097672511223
sim3,groupfe,-0.5480871687770106
sim3,groupfe,-0.5357487914319472
sim3,groupfe,-0.5234566034120733
sim3,groupfe,-0.5559113137953947
sim3,groupfe,-0.544967760172351
sim3,groupfe,-0.5575200769276842
sim3,groupfe,-0.5502638399651126
sim3,cf,-0.5064031463900879
sim3,cf,-0.5115580749830815
sim3,cf,-0.4820159729147844
sim3,cf,-0.4958000466405164
sim3,cf,-0.4957109934393018
sim3,cf,-0.48382024752297326
sim3,cf,-0.50750144307231
sim3,cf,-0.5079427196308952
sim3,cf,-0.5123506165476882
sim3,cf,-0.5136315345000061
