caseid,wgt,month,year,trips_single,trips_md,des_name,des_direction,des_address,des_primary_city,des_secondary_city,des_state,des_county,des_zipcode,site_id_agg,lat_lon_des,lat_lon_des_agg,days,es_origin,es_origin_zip,es_origin_city,es_origin_state,md_days_rec,travel_others,travel_others_num
86622200,4351.8543,2,2013,1,0,"","","","NAVARRE","","FL","","",25,"30.4015N,86.8647W","30.3815N,86.8403W",1,0,"-1","-1","-1",-1,3,-1
86622200,2706.4279,1,2013,1,0,"","","","NAVARRE","","FL","","",25,"30.4015N,86.8647W","30.3815N,86.8403W",1,0,"-1","-1","-1",-1,3,-1
86622200,2897.6349,12,2012,3.9965249,0,"","","","NAVARRE","","FL","","",25,"30.4015N,86.8647W","30.3815N,86.8403W",,0,"-1","-1","-1",,3,
86622200,2706.4279,1,2013,4.2149603,0,"","","","NAVARRE","","FL","","",25,"30.4015N,86.8647W","30.3815N,86.8403W",,0,"-1","-1","-1",,3,
86624026,2718.6569,12,2012,13.584593,0,"FORT PIERCE BEACH","","","FORT PIERCE","","FL","","",70,"27.4486N,80.3266W","27.4486N,80.3266W",,0,"-1","-1","-1",,3,
86624026,2204.0484,1,2013,14.327077,0,"FORT PIERCE BEACH","","","FORT PIERCE","","FL","","",70,"27.4486N,80.3266W","27.4486N,80.3266W",,0,"-1","-1","-1",,3,
86624026,2151.3963,2,2013,15.023803,0,"FORT PIERCE BEACH","","","FORT PIERCE","","FL","","",70,"27.4486N,80.3266W","27.4486N,80.3266W",,0,"-1","-1","-1",,3,
86628033,169.43898,12,2012,0,.19752691,"","","","GULF SHORES","","AL","BALDWIN","",20,"30.2773N,87.6830W","30.2773N,87.6830W",,0,"-1","-1","-1",,,
86628033,211.35065,11,2012,0,.20367098,"","","","GULF SHORES","","AL","BALDWIN","",20,"30.2773N,87.6830W","30.2773N,87.6830W",,0,"-1","-1","-1",,,
86628033,142.40732,1,2013,0,.20832301,"","","","GULF SHORES","","AL","BALDWIN","",20,"30.2773N,87.6830W","30.2773N,87.6830W",,0,"-1","-1","-1",,,
86635835,6242.4065,2,2013,1.3376658,0,"","","","HOLMES BEACH","","FL","","",51,"27.4953N,82.7108W","27.5039N,82.7145W",,0,"-1","-1","-1",,,
86635835,4544.4864,1,2013,1.8798784,0,"","","","HOLMES BEACH","","FL","","",51,"27.4953N,82.7108W","27.5039N,82.7145W",,0,"-1","-1","-1",,,
86635835,6242.4065,2,2013,1,0,"","","","HOLMES BEACH","","FL","","",51,"27.4953N,82.7108W","27.5039N,82.7145W",1,0,"-1","-1","-1",-1,2,4
86635835,4544.4864,1,2013,.37597568,0,"EMERSON POINT PRESERVE","","","SNEAD ISLAND","","FL","","",50,"27.5324N,82.6287W","27.5157N,82.5729W",,0,"-1","-1","-1",,,
