caseid,wgt,month,year,trips_single,trips_md,des_name,des_direction,des_address,des_primary_city,des_secondary_city,des_state,des_county,des_zipcode,site_id_agg,lat_lon_des,lat_lon_des_agg,days,es_origin,es_origin_zip,es_origin_city,es_origin_state,md_days_rec,travel_others,travel_others_num
86800905,1941.739,2,2013,.34991586,0,"","","","PANAMA CITY BEACH","","FL","","",31,"30.1916N,85.8324W","30.1916N,85.8324W",,0,"-1","-1","-1",,,
86802365,486.21268,3,2013,1.6300985,0,"","","","","","LA","ST BERNARD","",12,"29.8611N,89.8541W","29.9537N,90.0777W",,0,"-1","-1","-1",,3,
86802365,1499.1751,5,2013,1,0,"","","","","","LA","ST BERNARD","",12,"29.8611N,89.8541W","29.9537N,90.0777W",1,0,"-1","-1","-1",-1,3,-1
86802365,453.58609,4,2013,2.3699015,0,"","","","","","LA","ST BERNARD","",12,"29.8611N,89.8541W","29.9537N,90.0777W",,0,"-1","-1","-1",,3,
86802365,453.58609,4,2013,1,0,"","","","","","LA","ST BERNARD","",12,"29.8611N,89.8541W","29.9537N,90.0777W",1,0,"-1","-1","-1",-1,3,-1
86802365,453.58609,4,2013,1,0,"","","","BAY SAINT LOUIS","","MS","","",14,"30.2979N,89.3361W","30.2979N,89.3361W",1,0,"-1","-1","-1",-1,2,1
86802860,5955.9541,1,2013,1,0,"","","","SAINT AUGUSTINE","","FL","","",78,"29.8921N,81.3142W","29.8545N,81.2797W",1,0,"-1","-1","-1",-1,2,1
86814676,289.40271,3,2013,0,1,"","","","SAVANNAH","","GA","CHATHAM","",83,"32.0807N,81.0907W","31.8808N,81.1772W",4,0,"-1","-1","-1",3,2,1
86818526,8153.1518,3,2013,1,0,"","","","COCOA BEACH","","FL","","",73,"28.3175N,80.6100W","28.3175N,80.6100W",1,0,"-1","-1","-1",-1,1,-1
86829960,8778.1929,3,2013,.81504927,0,"DEERFIELD BEACH","","","","","FL","","",65,"26.3188N,80.0747W","26.2212N,80.0897W",,0,"-1","-1","-1",,,
