ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00773,21940,0.997498124,1.000000000,1.000000000,0.997638167
00775,99999,0.000000000,0.000000000,1.000000000,1.000000000
00777,41980,1.000000000,1.000000000,1.000000000,1.000000000
00778,41980,1.000000000,1.000000000,1.000000000,1.000000000
00780,38660,1.000000000,1.000000000,1.000000000,1.000000000
00782,41980,1.000000000,1.000000000,1.000000000,1.000000000
00783,41980,1.000000000,1.000000000,1.000000000,1.000000000
00784,25020,1.000000000,1.000000000,1.000000000,1.000000000
00786,41980,0.000000000,0.000000000,1.000000000,1.000000000
00791,41980,1.000000000,1.000000000,1.000000000,1.000000000
00794,41980,1.000000000,1.000000000,1.000000000,1.000000000
00795,38660,1.000000000,1.000000000,1.000000000,1.000000000
00802,99999,1.000000000,1.000000000,1.000000000,1.000000000
00820,99999,1.000000000,1.000000000,1.000000000,1.000000000
00830,99999,1.000000000,1.000000000,1.000000000,1.000000000
00840,99999,1.000000000,1.000000000,1.000000000,1.000000000
00850,99999,1.000000000,1.000000000,1.000000000,1.000000000
00901,41980,1.000000000,1.000000000,1.000000000,1.000000000
00907,41980,1.000000000,1.000000000,1.000000000,1.000000000
00909,41980,1.000000000,1.000000000,1.000000000,1.000000000
00911,41980,1.000000000,1.000000000,1.000000000,1.000000000
00912,41980,1.000000000,1.000000000,1.000000000,1.000000000
00913,41980,1.000000000,1.000000000,1.000000000,1.000000000
00915,41980,1.000000000,1.000000000,1.000000000,1.000000000
00917,41980,1.000000000,1.000000000,1.000000000,1.000000000
00918,41980,1.000000000,1.000000000,1.000000000,1.000000000
00920,41980,1.000000000,1.000000000,1.000000000,1.000000000
00921,41980,1.000000000,1.000000000,1.000000000,1.000000000
00923,41980,1.000000000,1.000000000,1.000000000,1.000000000
00924,41980,1.000000000,1.000000000,1.000000000,1.000000000
00925,41980,1.000000000,1.000000000,1.000000000,1.000000000
00926,41980,1.000000000,1.000000000,1.000000000,1.000000000
00927,41980,1.000000000,1.000000000,1.000000000,1.000000000
00934,41980,1.000000000,1.000000000,1.000000000,1.000000000
00935,41980,0.000000000,1.000000000,0.000000000,1.000000000
00936,41980,0.000000000,1.000000000,1.000000000,1.000000000
00940,41980,0.000000000,0.000000000,1.000000000,1.000000000
00949,41980,1.000000000,1.000000000,1.000000000,1.000000000
00952,41980,1.000000000,1.000000000,1.000000000,1.000000000
00953,41980,1.000000000,1.000000000,1.000000000,1.000000000
00956,41980,1.000000000,1.000000000,1.000000000,1.000000000
00957,41980,1.000000000,1.000000000,1.000000000,1.000000000
00959,41980,1.000000000,1.000000000,1.000000000,1.000000000
00961,41980,1.000000000,1.000000000,1.000000000,1.000000000
00962,41980,1.000000000,1.000000000,1.000000000,1.000000000
00965,41980,1.000000000,1.000000000,1.000000000,1.000000000
00966,41980,1.000000000,1.000000000,1.000000000,1.000000000
00968,41980,1.000000000,1.000000000,1.000000000,1.000000000
00969,41980,1.000000000,1.000000000,1.000000000,1.000000000
00971,41980,1.000000000,1.000000000,1.000000000,1.000000000
00975,41980,0.000000000,1.000000000,1.000000000,1.000000000
00976,41980,1.000000000,1.000000000,1.000000000,1.000000000
00979,41980,1.000000000,1.000000000,1.000000000,1.000000000
00982,41980,1.000000000,1.000000000,1.000000000,1.000000000
00983,41980,1.000000000,1.000000000,1.000000000,1.000000000
00985,41980,1.000000000,1.000000000,1.000000000,1.000000000
00987,41980,1.000000000,1.000000000,1.000000000,1.000000000
01001,44140,1.000000000,1.000000000,1.000000000,1.000000000
01002,44140,1.000000000,1.000000000,1.000000000,1.000000000
01003,44140,1.000000000,1.000000000,1.000000000,1.000000000
01004,44140,1.000000000,1.000000000,1.000000000,1.000000000
01005,49340,1.000000000,1.000000000,1.000000000,1.000000000
01007,44140,1.000000000,1.000000000,1.000000000,1.000000000
01008,44140,0.972399151,0.950000000,1.000000000,0.971774194
01008,38340,0.027600849,0.050000000,0.000000000,0.028225806
01009,44140,0.000000000,1.000000000,0.000000000,1.000000000
01010,49340,0.000639795,0.000000000,0.000000000,0.000625000
01010,44140,0.999360205,1.000000000,0.000000000,0.999375000
01011,38340,0.008676790,0.024390244,0.000000000,0.009842520
01011,44140,0.991323210,0.975609756,1.000000000,0.990157480
01012,44140,1.000000000,1.000000000,1.000000000,1.000000000
01013,44140,1.000000000,1.000000000,1.000000000,1.000000000
01014,44140,1.000000000,1.000000000,1.000000000,1.000000000
01020,44140,1.000000000,1.000000000,1.000000000,1.000000000
01021,44140,1.000000000,1.000000000,1.000000000,1.000000000
